brief_id,category,title,priority,current_status,target_cue_ids_or_content,edited_duration_seconds,approved_variants,planned_deliverable_files,loop,generation_model,sound_brief,integration_requirement,source_refs,generation_status
replace_audio_placeholder_status_apply,battle,Status Apply,P0,nonfinal_existing,audio_placeholder_status_apply,0.19,1,1,no,Small-SFX,"brief neutral arcane pulse settling onto a target, no school-specific melody. Isolated recording, no speech, no music, minimal room tail.",Existing cue/path; preserve onset and current event timing. Record longer source then trim. Any longer tail requires lifetime/timing/validator review; variant selection is not currently wired.,content/battle_sfx_manifest.json; content/animation_event_cues.json,not_started
replace_audio_placeholder_status_clear,battle,Status Clear,P0,nonfinal_existing,audio_placeholder_status_clear,0.15,1,1,no,Small-SFX,"soft dispersal and gentle release of tension. Isolated recording, no speech, no music, minimal room tail.",Existing cue/path; preserve onset and current event timing. Record longer source then trim. Any longer tail requires lifetime/timing/validator review; variant selection is not currently wired.,content/battle_sfx_manifest.json; content/animation_event_cues.json,not_started
replace_audio_placeholder_surrender_order,battle,Surrender Order,P0,nonfinal_existing,audio_placeholder_surrender_order,0.21,1,1,no,Small-SFX,"quiet lowered-horn phrase and cloth settling, distinct from retreat. Isolated recording, no speech, no music, minimal room tail.",Existing cue/path; preserve onset and current event timing. Record longer source then trim. Any longer tail requires lifetime/timing/validator review; variant selection is not currently wired.,content/battle_sfx_manifest.json; content/animation_event_cues.json,not_started
replace_audio_placeholder_turn_ready,battle,Turn Ready,P0,nonfinal_existing,audio_placeholder_turn_ready,0.11,1,1,no,Small-SFX,"tiny low-fatigue command accent, audible under music without becoming a notification alarm. Isolated recording, no speech, no music, minimal room tail.",Existing cue/path; preserve onset and current event timing. Record longer source then trim. Any longer tail requires lifetime/timing/validator review; variant selection is not currently wired.,content/battle_sfx_manifest.json; content/animation_event_cues.json,not_started
replace_audio_placeholder_unit_rout,battle,Unit Rout,P0,nonfinal_existing,audio_placeholder_unit_rout,0.26,1,1,no,Small-SFX,"equipment collapse and receding movement, concise defeat gesture with no speech. Isolated recording, no speech, no music, minimal room tail.",Existing cue/path; preserve onset and current event timing. Record longer source then trim. Any longer tail requires lifetime/timing/validator review; variant selection is not currently wired.,content/battle_sfx_manifest.json; content/animation_event_cues.json,not_started
replace_audio_placeholder_unit_step,battle,Unit Step,P0,nonfinal_existing,audio_placeholder_unit_step,0.08,1,1,no,Small-SFX,"one dry bootstep and tiny equipment movement, no repeating gait baked in. Isolated recording, no speech, no music, minimal room tail.",Existing cue/path; preserve onset and current event timing. Record longer source then trim. Any longer tail requires lifetime/timing/validator review; variant selection is not currently wired.,content/battle_sfx_manifest.json; content/animation_event_cues.json,not_started
replace_audio_spell_briar_bind,battle,Spell Control Bind,P0,nonfinal_existing,audio_spell_briar_bind,0.27,1,1,no,Small-SFX,"roots whipping outward and fibrous wood tightening around a target. Isolated recording, no speech, no music, minimal room tail.",Existing cue/path; preserve onset and current event timing. Record longer source then trim. Any longer tail requires lifetime/timing/validator review; variant selection is not currently wired.,content/battle_sfx_manifest.json; content/animation_event_cues.json,not_started
replace_audio_spell_cinder_burst,battle,Spell Damage Fire,P0,nonfinal_existing,audio_spell_cinder_burst,0.26,1,1,no,Small-SFX,"tight ignition, fiery pressure pop and dry ember decay. Isolated recording, no speech, no music, minimal room tail.",Existing cue/path; preserve onset and current event timing. Record longer source then trim. Any longer tail requires lifetime/timing/validator review; variant selection is not currently wired.,content/battle_sfx_manifest.json; content/animation_event_cues.json,not_started
replace_audio_spell_coal_rain,battle,Spell Damage Rain,P0,nonfinal_existing,audio_spell_coal_rain,0.3,1,1,no,Small-SFX,"brief clustered hot coal impacts with gritty crackling tails. Isolated recording, no speech, no music, minimal room tail.",Existing cue/path; preserve onset and current event timing. Record longer source then trim. Any longer tail requires lifetime/timing/validator review; variant selection is not currently wired.,content/battle_sfx_manifest.json; content/animation_event_cues.json,not_started
replace_audio_spell_command_ward,battle,Spell Buff,P0,nonfinal_existing,audio_spell_command_ward,0.24,1,1,no,Small-SFX,"neutral protective field settling with a warm low pulse; shared effect fallback. Isolated recording, no speech, no music, minimal room tail.",Existing cue/path; preserve onset and current event timing. Record longer source then trim. Any longer tail requires lifetime/timing/validator review; variant selection is not currently wired.,content/battle_sfx_manifest.json; content/animation_event_cues.json,not_started
replace_audio_spell_graft_mend,battle,Spell Recovery,P0,nonfinal_existing,audio_spell_graft_mend,0.28,1,1,no,Small-SFX,"gentle living-wood growth, leaf movement and a warm healing resolution. Isolated recording, no speech, no music, minimal room tail.",Existing cue/path; preserve onset and current event timing. Record longer source then trim. Any longer tail requires lifetime/timing/validator review; variant selection is not currently wired.,content/battle_sfx_manifest.json; content/animation_event_cues.json,not_started
replace_audio_spell_prism_bastion,battle,Spell Cleanse,P0,nonfinal_existing,audio_spell_prism_bastion,0.27,1,1,no,Small-SFX,"clean crystalline facets locking, followed by a restrained cleansing shimmer. Isolated recording, no speech, no music, minimal room tail.",Existing cue/path; preserve onset and current event timing. Record longer source then trim. Any longer tail requires lifetime/timing/validator review; variant selection is not currently wired.,content/battle_sfx_manifest.json; content/animation_event_cues.json,not_started
replace_audio_spell_resonant_chorus,battle,Spell Tempo Chorus,P0,nonfinal_existing,audio_spell_resonant_chorus,0.29,1,1,no,Small-SFX,"short layered instrumental harmonic rising in confidence, no lyrics. Isolated recording, no speech, no music, minimal room tail.",Existing cue/path; preserve onset and current event timing. Record longer source then trim. Any longer tail requires lifetime/timing/validator review; variant selection is not currently wired.,content/battle_sfx_manifest.json; content/animation_event_cues.json,not_started
replace_audio_spell_sunlance_arc,battle,Spell Damage Lance,P0,nonfinal_existing,audio_spell_sunlance_arc,0.24,1,1,no,Small-SFX,"sharp glass-light charge and focused radiant lance sweep. Isolated recording, no speech, no music, minimal room tail.",Existing cue/path; preserve onset and current event timing. Record longer source then trim. Any longer tail requires lifetime/timing/validator review; variant selection is not currently wired.,content/battle_sfx_manifest.json; content/animation_event_cues.json,not_started
music_battle,music,Battle,P0,nonfinal_existing,music_battle_theme;music_battle_theme_harmony;music_battle_theme_motion,90-150,1,3,yes,Medium,"Instrumental, no vocals. clear restrained urgency, rhythmic purpose and space for attack/impact sounds. original acoustic fantasy ensemble: flute, lute, strings, horns and restrained hand percussion; exploration, wonder and consequence. Deliver one coherent composition arranged into synchronized root, harmony and motion stems.","Existing route. Longer-loop manifest/tests update; shared exact stem length, key, tempo and loop boundary. Compose/edit one piece before stems; never stack three independent generations.",content/music_runtime_manifest.json; scripts/autoload/MusicAudio.gd:227; tools/generate_music_runtime_assets.py:25,not_started
music_battle_brasshollow,music,Battle Brasshollow,P0,nonfinal_existing,music_battle_brasshollow_theme;music_battle_brasshollow_theme_harmony;music_battle_brasshollow_theme_motion,90-150,1,3,yes,Medium,"Instrumental, no vocals. clear restrained urgency, rhythmic purpose and space for attack/impact sounds. low brass, struck iron, deep drums and measured mechanical rhythms; furnace works, pressure and contractual discipline. Deliver one coherent composition arranged into synchronized root, harmony and motion stems.","Existing route. Longer-loop manifest/tests update; shared exact stem length, key, tempo and loop boundary. Compose/edit one piece before stems; never stack three independent generations.",content/music_runtime_manifest.json; scripts/autoload/MusicAudio.gd:227; tools/generate_music_runtime_assets.py:25,not_started
music_battle_embercourt,music,Battle Embercourt,P0,nonfinal_existing,music_battle_embercourt_theme;music_battle_embercourt_theme_harmony;music_battle_embercourt_theme_motion,90-150,1,3,yes,Medium,"Instrumental, no vocals. clear restrained urgency, rhythmic purpose and space for attack/impact sounds. warm horns, restrained field drums, plucked strings and small civic bells; river-charter confidence and humane resolve. Deliver one coherent composition arranged into synchronized root, harmony and motion stems.","Existing route. Longer-loop manifest/tests update; shared exact stem length, key, tempo and loop boundary. Compose/edit one piece before stems; never stack three independent generations.",content/music_runtime_manifest.json; scripts/autoload/MusicAudio.gd:227; tools/generate_music_runtime_assets.py:25,not_started
music_battle_mireclaw,music,Battle Mireclaw,P0,nonfinal_existing,music_battle_mireclaw_theme;music_battle_mireclaw_theme_harmony;music_battle_mireclaw_theme_motion,90-150,1,3,yes,Medium,"Instrumental, no vocals. clear restrained urgency, rhythmic purpose and space for attack/impact sounds. low skin drums, breathy reeds, rough bowed bass and irregular hand percussion; patient bog hunters and ferry-chain tension. Deliver one coherent composition arranged into synchronized root, harmony and motion stems.","Existing route. Longer-loop manifest/tests update; shared exact stem length, key, tempo and loop boundary. Compose/edit one piece before stems; never stack three independent generations.",content/music_runtime_manifest.json; scripts/autoload/MusicAudio.gd:227; tools/generate_music_runtime_assets.py:25,not_started
music_battle_sunvault,music,Battle Sunvault,P0,nonfinal_existing,music_battle_sunvault_theme;music_battle_sunvault_theme_harmony;music_battle_sunvault_theme_motion,90-150,1,3,yes,Medium,"Instrumental, no vocals. clear restrained urgency, rhythmic purpose and space for attack/impact sounds. glass harmonics, clean mallets, bright strings and precise interlocking rhythms; crystal relays and carefully timed power. Deliver one coherent composition arranged into synchronized root, harmony and motion stems.","Existing route. Longer-loop manifest/tests update; shared exact stem length, key, tempo and loop boundary. Compose/edit one piece before stems; never stack three independent generations.",content/music_runtime_manifest.json; scripts/autoload/MusicAudio.gd:227; tools/generate_music_runtime_assets.py:25,not_started
music_battle_thornwake,music,Battle Thornwake,P0,nonfinal_existing,music_battle_thornwake_theme;music_battle_thornwake_theme_harmony;music_battle_thornwake_theme_motion,90-150,1,3,yes,Medium,"Instrumental, no vocals. clear restrained urgency, rhythmic purpose and space for attack/impact sounds. wooden flute, plucked wood, soft bowed strings and seed-rattle percussion; living orchards, recovery and encroaching roots. Deliver one coherent composition arranged into synchronized root, harmony and motion stems.","Existing route. Longer-loop manifest/tests update; shared exact stem length, key, tempo and loop boundary. Compose/edit one piece before stems; never stack three independent generations.",content/music_runtime_manifest.json; scripts/autoload/MusicAudio.gd:227; tools/generate_music_runtime_assets.py:25,not_started
music_battle_veilmourn,music,Battle Veilmourn,P0,nonfinal_existing,music_battle_veilmourn_theme;music_battle_veilmourn_theme_harmony;music_battle_veilmourn_theme_motion,90-150,1,3,yes,Medium,"Instrumental, no vocals. clear restrained urgency, rhythmic purpose and space for attack/impact sounds. distant funeral bells, breathy low winds, bowed strings and muted frame drums; fog, memory, tides and solemn resolve. Deliver one coherent composition arranged into synchronized root, harmony and motion stems.","Existing route. Longer-loop manifest/tests update; shared exact stem length, key, tempo and loop boundary. Compose/edit one piece before stems; never stack three independent generations.",content/music_runtime_manifest.json; scripts/autoload/MusicAudio.gd:227; tools/generate_music_runtime_assets.py:25,not_started
music_menu,music,Menu,P0,nonfinal_existing,music_menu_theme;music_menu_theme_harmony;music_menu_theme_motion,120-180,1,3,yes,Medium,"Instrumental, no vocals. broad inviting title theme with memorable original motif and a clear horizon. original acoustic fantasy ensemble: flute, lute, strings, horns and restrained hand percussion; exploration, wonder and consequence. Deliver one coherent composition arranged into synchronized root, harmony and motion stems.","Existing route. Longer-loop manifest/tests update; shared exact stem length, key, tempo and loop boundary. Compose/edit one piece before stems; never stack three independent generations.",content/music_runtime_manifest.json; scripts/autoload/MusicAudio.gd:227; tools/generate_music_runtime_assets.py:25,not_started
music_outcome,music,Outcome,P0,nonfinal_existing,music_outcome_theme;music_outcome_theme_harmony;music_outcome_theme_motion,30-60,1,3,yes,Medium,"Instrumental, no vocals. reflective neutral aftermath without assuming win or loss. original acoustic fantasy ensemble: flute, lute, strings, horns and restrained hand percussion; exploration, wonder and consequence. Deliver one coherent composition arranged into synchronized root, harmony and motion stems.","Existing route. Longer-loop manifest/tests update; shared exact stem length, key, tempo and loop boundary. Compose/edit one piece before stems; never stack three independent generations.",content/music_runtime_manifest.json; scripts/autoload/MusicAudio.gd:227; tools/generate_music_runtime_assets.py:25,not_started
music_outcome_defeat,music,Outcome Defeat,P0,nonfinal_existing,music_outcome_defeat_theme;music_outcome_defeat_theme_harmony;music_outcome_defeat_theme_motion,30-60,1,3,yes,Medium,"Instrumental, no vocals. dignified loss, unresolved sadness and room to regroup. original acoustic fantasy ensemble: flute, lute, strings, horns and restrained hand percussion; exploration, wonder and consequence. Deliver one coherent composition arranged into synchronized root, harmony and motion stems.","Existing route. Longer-loop manifest/tests update; shared exact stem length, key, tempo and loop boundary. Compose/edit one piece before stems; never stack three independent generations.",content/music_runtime_manifest.json; scripts/autoload/MusicAudio.gd:227; tools/generate_music_runtime_assets.py:25,not_started
music_outcome_victory,music,Outcome Victory,P0,nonfinal_existing,music_outcome_victory_theme;music_outcome_victory_theme_harmony;music_outcome_victory_theme_motion,30-60,1,3,yes,Medium,"Instrumental, no vocals. earned victory, warm resolution and restrained celebration. original acoustic fantasy ensemble: flute, lute, strings, horns and restrained hand percussion; exploration, wonder and consequence. Deliver one coherent composition arranged into synchronized root, harmony and motion stems.","Existing route. Longer-loop manifest/tests update; shared exact stem length, key, tempo and loop boundary. Compose/edit one piece before stems; never stack three independent generations.",content/music_runtime_manifest.json; scripts/autoload/MusicAudio.gd:227; tools/generate_music_runtime_assets.py:25,not_started
music_overworld,music,Overworld,P0,nonfinal_existing,music_overworld_theme;music_overworld_theme_harmony;music_overworld_theme_motion,120-180,1,3,yes,Medium,"Instrumental, no vocals. patient exploration, spacious phrases, low fatigue over long turns. original acoustic fantasy ensemble: flute, lute, strings, horns and restrained hand percussion; exploration, wonder and consequence. Deliver one coherent composition arranged into synchronized root, harmony and motion stems.","Existing route. Longer-loop manifest/tests update; shared exact stem length, key, tempo and loop boundary. Compose/edit one piece before stems; never stack three independent generations.",content/music_runtime_manifest.json; scripts/autoload/MusicAudio.gd:227; tools/generate_music_runtime_assets.py:25,not_started
music_overworld_brasshollow,music,Overworld Brasshollow,P0,nonfinal_existing,music_overworld_brasshollow_theme;music_overworld_brasshollow_theme_harmony;music_overworld_brasshollow_theme_motion,120-180,1,3,yes,Medium,"Instrumental, no vocals. patient exploration, spacious phrases, low fatigue over long turns. low brass, struck iron, deep drums and measured mechanical rhythms; furnace works, pressure and contractual discipline. Deliver one coherent composition arranged into synchronized root, harmony and motion stems.","Existing route. Longer-loop manifest/tests update; shared exact stem length, key, tempo and loop boundary. Compose/edit one piece before stems; never stack three independent generations.",content/music_runtime_manifest.json; scripts/autoload/MusicAudio.gd:227; tools/generate_music_runtime_assets.py:25,not_started
music_overworld_embercourt,music,Overworld Embercourt,P0,nonfinal_existing,music_overworld_embercourt_theme;music_overworld_embercourt_theme_harmony;music_overworld_embercourt_theme_motion,120-180,1,3,yes,Medium,"Instrumental, no vocals. patient exploration, spacious phrases, low fatigue over long turns. warm horns, restrained field drums, plucked strings and small civic bells; river-charter confidence and humane resolve. Deliver one coherent composition arranged into synchronized root, harmony and motion stems.","Existing route. Longer-loop manifest/tests update; shared exact stem length, key, tempo and loop boundary. Compose/edit one piece before stems; never stack three independent generations.",content/music_runtime_manifest.json; scripts/autoload/MusicAudio.gd:227; tools/generate_music_runtime_assets.py:25,not_started
music_overworld_mireclaw,music,Overworld Mireclaw,P0,nonfinal_existing,music_overworld_mireclaw_theme;music_overworld_mireclaw_theme_harmony;music_overworld_mireclaw_theme_motion,120-180,1,3,yes,Medium,"Instrumental, no vocals. patient exploration, spacious phrases, low fatigue over long turns. low skin drums, breathy reeds, rough bowed bass and irregular hand percussion; patient bog hunters and ferry-chain tension. Deliver one coherent composition arranged into synchronized root, harmony and motion stems.","Existing route. Longer-loop manifest/tests update; shared exact stem length, key, tempo and loop boundary. Compose/edit one piece before stems; never stack three independent generations.",content/music_runtime_manifest.json; scripts/autoload/MusicAudio.gd:227; tools/generate_music_runtime_assets.py:25,not_started
music_overworld_sunvault,music,Overworld Sunvault,P0,nonfinal_existing,music_overworld_sunvault_theme;music_overworld_sunvault_theme_harmony;music_overworld_sunvault_theme_motion,120-180,1,3,yes,Medium,"Instrumental, no vocals. patient exploration, spacious phrases, low fatigue over long turns. glass harmonics, clean mallets, bright strings and precise interlocking rhythms; crystal relays and carefully timed power. Deliver one coherent composition arranged into synchronized root, harmony and motion stems.","Existing route. Longer-loop manifest/tests update; shared exact stem length, key, tempo and loop boundary. Compose/edit one piece before stems; never stack three independent generations.",content/music_runtime_manifest.json; scripts/autoload/MusicAudio.gd:227; tools/generate_music_runtime_assets.py:25,not_started
music_overworld_thornwake,music,Overworld Thornwake,P0,nonfinal_existing,music_overworld_thornwake_theme;music_overworld_thornwake_theme_harmony;music_overworld_thornwake_theme_motion,120-180,1,3,yes,Medium,"Instrumental, no vocals. patient exploration, spacious phrases, low fatigue over long turns. wooden flute, plucked wood, soft bowed strings and seed-rattle percussion; living orchards, recovery and encroaching roots. Deliver one coherent composition arranged into synchronized root, harmony and motion stems.","Existing route. Longer-loop manifest/tests update; shared exact stem length, key, tempo and loop boundary. Compose/edit one piece before stems; never stack three independent generations.",content/music_runtime_manifest.json; scripts/autoload/MusicAudio.gd:227; tools/generate_music_runtime_assets.py:25,not_started
music_overworld_veilmourn,music,Overworld Veilmourn,P0,nonfinal_existing,music_overworld_veilmourn_theme;music_overworld_veilmourn_theme_harmony;music_overworld_veilmourn_theme_motion,120-180,1,3,yes,Medium,"Instrumental, no vocals. patient exploration, spacious phrases, low fatigue over long turns. distant funeral bells, breathy low winds, bowed strings and muted frame drums; fog, memory, tides and solemn resolve. Deliver one coherent composition arranged into synchronized root, harmony and motion stems.","Existing route. Longer-loop manifest/tests update; shared exact stem length, key, tempo and loop boundary. Compose/edit one piece before stems; never stack three independent generations.",content/music_runtime_manifest.json; scripts/autoload/MusicAudio.gd:227; tools/generate_music_runtime_assets.py:25,not_started
music_town,music,Town,P0,nonfinal_existing,music_town_theme;music_town_theme_harmony;music_town_theme_motion,120-180,1,3,yes,Medium,"Instrumental, no vocals. warm settled place identity with small internal development and breathing room. original acoustic fantasy ensemble: flute, lute, strings, horns and restrained hand percussion; exploration, wonder and consequence. Deliver one coherent composition arranged into synchronized root, harmony and motion stems.","Existing route. Longer-loop manifest/tests update; shared exact stem length, key, tempo and loop boundary. Compose/edit one piece before stems; never stack three independent generations.",content/music_runtime_manifest.json; scripts/autoload/MusicAudio.gd:227; tools/generate_music_runtime_assets.py:25,not_started
music_town_brasshollow,music,Town Brasshollow,P0,nonfinal_existing,music_town_brasshollow_theme;music_town_brasshollow_theme_harmony;music_town_brasshollow_theme_motion,120-180,1,3,yes,Medium,"Instrumental, no vocals. warm settled place identity with small internal development and breathing room. low brass, struck iron, deep drums and measured mechanical rhythms; furnace works, pressure and contractual discipline. Deliver one coherent composition arranged into synchronized root, harmony and motion stems.","Existing route. Longer-loop manifest/tests update; shared exact stem length, key, tempo and loop boundary. Compose/edit one piece before stems; never stack three independent generations.",content/music_runtime_manifest.json; scripts/autoload/MusicAudio.gd:227; tools/generate_music_runtime_assets.py:25,not_started
music_town_embercourt,music,Town Embercourt,P0,nonfinal_existing,music_town_embercourt_theme;music_town_embercourt_theme_harmony;music_town_embercourt_theme_motion,120-180,1,3,yes,Medium,"Instrumental, no vocals. warm settled place identity with small internal development and breathing room. warm horns, restrained field drums, plucked strings and small civic bells; river-charter confidence and humane resolve. Deliver one coherent composition arranged into synchronized root, harmony and motion stems.","Existing route. Longer-loop manifest/tests update; shared exact stem length, key, tempo and loop boundary. Compose/edit one piece before stems; never stack three independent generations.",content/music_runtime_manifest.json; scripts/autoload/MusicAudio.gd:227; tools/generate_music_runtime_assets.py:25,not_started
music_town_mireclaw,music,Town Mireclaw,P0,nonfinal_existing,music_town_mireclaw_theme;music_town_mireclaw_theme_harmony;music_town_mireclaw_theme_motion,120-180,1,3,yes,Medium,"Instrumental, no vocals. warm settled place identity with small internal development and breathing room. low skin drums, breathy reeds, rough bowed bass and irregular hand percussion; patient bog hunters and ferry-chain tension. Deliver one coherent composition arranged into synchronized root, harmony and motion stems.","Existing route. Longer-loop manifest/tests update; shared exact stem length, key, tempo and loop boundary. Compose/edit one piece before stems; never stack three independent generations.",content/music_runtime_manifest.json; scripts/autoload/MusicAudio.gd:227; tools/generate_music_runtime_assets.py:25,not_started
